Frequency,Most_Recent_Date_Time,Most_Recent_Angle,Most_Recent_Current,Most_Recent_AngleAndCurrent,Most_Recent_AngleChange,Most_Recent_CurrentChange,Most_Recent_AngleAndCurrentChange,Aggregation_Date_Time_Start,Aggregation_Date_Time_End,Aggregation_Count,Min_Angle,Avg_Angle,Max_Angle,Min_Current,Avg_Current,Max_Current,Min_AngleAndCurrent,Avg_AngleAndCurrent,Max_AngleAndCurrent
44025.87,20180506_0839_51,66.71,515.64,582.35,0.0427,0.0000,0.0049,20180427_0819_16,20180506_0839_51,4,66.71,85.66,98.62,511.87,513.34,515.64,582.35,598.99,610.49
44080.90,20180506_0839_52,66.71,515.59,582.30,0.0315,0.0097,0.0122,20180427_0819_16,20180506_0839_52,4,66.71,85.66,98.62,511.87,513.33,515.59,582.30,598.98,610.49
44136.00,20180506_0839_52,66.70,515.59,582.29,0.0397,0.0092,0.0127,20180427_0819_16,20180506_0839_52,4,66.70,85.52,98.62,511.87,513.34,515.59,582.29,598.86,610.49
44191.17,20180506_0839_52,66.70,515.59,582.29,0.0322,0.0087,0.0114,20180427_0819_16,20180506_0839_52,4,66.70,85.48,98.46,511.87,513.34,515.59,582.29,598.82,610.33
44246.41,20180506_0839_52,66.70,515.60,582.30,0.0247,0.0065,0.0086,20180427_0819_16,20180506_0839_52,4,66.70,85.48,98.46,511.87,513.35,515.60,582.30,598.83,610.33
44301.72,20180506_0839_52,66.71,515.60,582.31,0.0075,0.0063,0.0064,20180427_0819_16,20180506_0839_52,4,66.71,85.47,98.46,511.84,513.35,515.60,582.31,598.82,610.30
44357.10,20180506_0839_52,66.71,515.60,582.31,0.0060,0.0061,0.0061,20180427_0819_17,20180506_0839_52,4,66.71,85.34,98.09,511.84,513.35,515.60,582.31,598.69,609.93
44412.55,20180506_0839_52,66.71,515.64,582.35,0.0045,0.0022,0.0015,20180427_0819_17,20180506_0839_52,4,66.71,85.34,98.09,511.84,513.37,515.64,582.35,598.71,609.93
44468.07,20180506_0839_52,66.71,515.64,582.35,0.0030,0.0024,0.0018,20180427_0819_17,20180506_0839_52,4,66.71,85.33,98.09,511.87,513.38,515.64,582.35,598.71,609.96
44523.66,20180506_0839_52,66.71,515.64,582.35,0.0015,0.0026,0.0021,20180427_0819_17,20180506_0839_52,4,66.71,85.20,98.00,511.87,513.38,515.64,582.35,598.57,609.87
44579.31,20180506_0839_52,66.71,515.63,582.34,0.0000,0.0009,0.0008,20180427_0819_17,20180506_0839_52,4,66.71,85.20,98.00,511.87,513.43,515.63,582.34,598.62,609.87
44635.03,20180506_0839_52,66.71,515.63,582.34,0.0008,0.0012,0.0011,20180427_0819_17,20180506_0839_52,4,66.71,85.06,98.00,511.85,513.42,515.63,582.34,598.48,609.85
44690.82,20180506_0839_52,66.71,515.63,582.34,0.0015,0.0015,0.0015,20180427_0819_17,20180506_0839_52,4,66.71,85.05,97.99,511.85,513.42,515.63,582.34,598.48,609.84
44746.68,20180506_0839_52,66.71,515.63,582.34,0.0023,0.0015,0.0016,20180427_0819_17,20180506_0839_52,4,66.71,85.05,97.99,511.85,513.46,515.63,582.34,598.51,609.84
44802.61,20180506_0839_53,66.71,515.63,582.34,0.0023,0.0015,0.0016,20180427_0819_17,20180506_0839_53,4,66.71,85.03,97.99,511.91,513.47,515.63,582.34,598.50,609.90
44858.61,20180506_0839_53,66.71,515.66,582.37,0.0023,0.0073,0.0067,20180427_0819_17,20180506_0839_53,4,66.71,85.03,98.00,511.91,513.48,515.66,582.37,598.51,609.91
44914.68,20180506_0839_53,66.70,515.66,582.36,0.0127,0.0070,0.0047,20180427_0819_17,20180506_0839_53,4,66.70,85.03,98.00,511.91,513.51,515.66,582.36,598.54,609.91
44970.82,20180506_0839_53,66.70,515.66,582.36,0.0120,0.0067,0.0045,20180427_0819_17,20180506_0839_53,4,66.70,85.03,98.00,511.94,513.52,515.66,582.36,598.55,609.94
