BPM,HRV,Angle,Current,Angle + Current,Spare,Spare,Spare,Spare,Spare
0,0,74.92,506.466666666667,581.386666666667,0,0,0,0,0
0,0,75.02,506.52,581.54,0,0,0,0,0
0,0,75.07,506.52,581.59,0,0,0,0,0
0,0,75.25,506.52,581.77,0,0,0,0,0
0,0,75.39,506.48,581.87,0,0,0,0,0
0,0,75.49,506.51,582,0,0,0,0,0
0,0,75.51,506.57,582.08,0,0,0,0,0
0,0,75.52,506.56,582.08,0,0,0,0,0
0,0,75.5133333333333,506.54,582.053333333333,0,0,0,0,0
0,0,75.51,506.56,582.07,0,0,0,0,0
0,0,75.51,506.59,582.1,0,0,0,0,0
0,0,75.5166666666667,506.65,582.166666666667,0,0,0,0,0
0,0,75.52,506.633333333333,582.153333333333,0,0,0,0,0
0,0,75.5266666666667,506.6,582.126666666667,0,0,0,0,0
0,0,75.5766666666667,506.553333333333,582.13,0,0,0,0,0
0,0,75.67,506.56,582.23,0,0,0,0,0
0,0,75.7933333333333,506.62,582.413333333333,0,0,0,0,0
0,0,76.04,506.606666666667,582.646666666667,0,0,0,0,0
0,0,76.1,506.58,582.68,0,0,0,0,0
0,0,76.13,506.613333333333,582.743333333333,0,0,0,0,0
0,0,76.13,506.643333333333,582.773333333333,0,0,0,0,0
0,0,76.15,506.67,582.82,0,0,0,0,0
0,0,76.16,506.656666666667,582.816666666667,0,0,0,0,0
0,0,76.3333333333333,506.63,582.963333333333,0,0,0,0,0
0,0,76.53,506.65,583.18,0,0,0,0,0
0,0,76.75,506.66,583.41,0,0,0,0,0
0,0,76.75,506.64,583.39,0,0,0,0,0
0,0,76.75,506.666666666667,583.416666666667,0,0,0,0,0
0,0,76.8166666666667,506.72,583.536666666667,0,0,0,0,0
0,0,77.0133333333333,506.72,583.733333333333,0,0,0,0,0
0,0,77.34,506.72,584.06,0,0,0,0,0
0,0,77.3566666666667,506.77,584.126666666667,0,0,0,0,0
0,0,77.39,506.77,584.16,0,0,0,0,0
0,0,77.3866666666667,506.72,584.106666666667,0,0,0,0,0
0,0,77.38,506.726666666667,584.106666666667,0,0,0,0,0
0,0,77.39,506.74,584.13,0,0,0,0,0
0,0,77.39,506.76,584.15,0,0,0,0,0
0,0,77.5,506.76,584.26,0,0,0,0,0
0,0,77.5,506.8,584.3,0,0,0,0,0
0,0,77.76,506.8,584.56,0,0,0,0,0
0,0,77.9133333333333,506.76,584.673333333333,0,0,0,0,0
0,0,77.99,506.766666666667,584.756666666667,0,0,0,0,0
0,0,78.01,506.77,584.78,0,0,0,0,0
0,0,78.01,506.743333333333,584.753333333333,0,0,0,0,0
0,0,78,506.73,584.73,0,0,0,0,0
0,0,78.0033333333333,506.756666666667,584.76,0,0,0,0,0
0,0,78.01,506.746666666667,584.756666666667,0,0,0,0,0
0,0,78.1566666666667,506.7,584.856666666667,0,0,0,0,0
0,0,78.23,506.716666666667,584.946666666667,0,0,0,0,0
0,0,78.4966666666667,506.75,585.246666666667,0,0,0,0,0
0,0,78.63,506.75,585.38,0,0,0,0,0
0,0,78.63,506.766666666667,585.396666666667,0,0,0,0,0
