#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A7FEC1
#Date Time: 2018-11-30 13:32:30.339

Time (s),Math 1 (V)
-4.08125,0.0194312
-4.08,0.0294973
-4.07875,0.0358681
-4.0775,0.0517146
-4.07625,0.0850823
-4.075,0.0666479
-4.07375,0.0283212
-4.0725,0.00112624
-4.07125,-0.019338
-4.07,-0.029404
-4.06875,-0.0361162
-4.0675,-0.0499422
-4.06625,-0.0833098
-4.065,-0.068912
-4.06375,-0.0349678
-4.0625,-0.00373172
-4.06125,0.0190945
-4.06,0.0291559
-4.05875,0.0358681
-4.0575,0.0517146
-4.05625,0.0850823
-4.055,0.0666433
-4.05375,0.0283212
-4.0525,0.00146301
-4.05125,-0.0196794
-4.05,-0.0294086
-4.04875,-0.0361162
-4.0475,-0.0502835
-4.04625,-0.0833098
-4.045,-0.0692487
-4.04375,-0.0353046
-4.0425,-0.00406849
-4.04125,0.0190945
-4.04,0.0294973
-4.03875,0.0358681
-4.0375,0.0513779
-4.03625,0.0847455
-4.035,0.0673168
-4.03375,0.0286579
-4.0325,0.00146301
-4.03125,-0.0196794
-4.03,-0.0294086
-4.02875,-0.0361162
-4.0275,-0.0496054
-4.02625,-0.082973
-4.025,-0.0695855
-4.02375,-0.0349632
-4.0225,-0.00440525
-4.02125,0.0187577
-4.02,0.0291605
-4.01875,0.0358681
-4.0175,0.0510411
-4.01625,0.0844087
-4.015,0.0676536
-4.01375,0.0289947
-4.0125,0.00179978
-4.01125,-0.0196794
-4.01,-0.0290672
-4.00875,-0.0361162
-4.0075,-0.04961
-4.00625,-0.082973
-4.005,-0.0699223
-4.00375,-0.0356414
-4.0025,-0.00440525
-4.00125,0.0187577
-4,0.0294973
-3.99875,0.0358681
-3.9975,0.0510411
-3.99625,0.0847455
-3.995,0.0679903
-3.99375,0.0286533
-3.9925,0.00213654
-3.99125,-0.0190058
-3.99,-0.0290672
-3.98875,-0.0361162
-3.9875,-0.0489319
-3.98625,-0.0822948
-3.985,-0.0699177
-3.98375,-0.0353
-3.9825,-0.00440063
-3.98125,0.0187577
-3.98,0.0294973
-3.97875,0.0358681
-3.9775,0.0507043
-3.97625,0.0847455
-3.975,0.0683271
-3.97375,0.0293315
-3.9725,0.00247331
-3.97125,-0.0190058
-3.97,-0.0294086
-3.96875,-0.0361209
-3.9675,-0.0489319
-3.96625,-0.082973
-3.965,-0.0695809
-3.96375,-0.0356368
-3.9625,-0.0047374
-3.96125,0.0180842
-3.96,0.0291605
-3.95875,0.0355314
-3.9575,0.0503676
-3.95625,0.0844087
-3.955,0.0686639
-3.95375,0.0293269
-3.9525,0.00213192
-3.95125,-0.0190058
-3.95,-0.0290719
-3.94875,-0.0357795
-3.9475,-0.0485951
-3.94625,-0.0822948
-3.945,-0.0705912
-3.94375,-0.0359735
-3.9425,-0.00507417
-3.94125,0.018421
-3.94,0.0294973
-3.93875,0.0355314
-3.9375,0.0500308
-3.93625,0.0840673
-3.935,0.0686592
-3.93375,0.0293269
-3.9325,0.00246869
-3.93125,-0.0190058
-3.93,-0.0294086
-3.92875,-0.0357795
-3.9275,-0.0489319
-3.92625,-0.0822948
-3.925,-0.0702544
-3.92375,-0.0363103
-3.9225,-0.00541093
-3.92125,0.0184256
-3.92,0.0291605
-3.91875,0.0355314
-3.9175,0.0503676
-3.91625,0.0840673
-3.915,0.068996
-3.91375,0.0296636
-3.9125,0.00280546
-3.91125,-0.0190058
-3.91,-0.0290719
-3.90875,-0.0357795
-3.9075,-0.0479216
-3.90625,-0.0819581
-3.905,-0.0712647
-3.90375,-0.0363103
-3.9025,-0.00540631
-3.90125,0.0180842
-3.9,0.0291605
-3.89875,0.0355314
-3.8975,0.0500308
-3.89625,0.0840673
-3.895,0.068996
-3.89375,0.0296636
-3.8925,0.0031376
-3.89125,-0.0186691
-3.89,-0.0290719
-3.88875,-0.0357795
-3.8875,-0.0479216
-3.88625,-0.0822948
-3.885,-0.070928
-3.88375,-0.0366471
-3.8825,-0.00574308
-3.88125,0.0180888
-3.88,0.0291605
-3.87875,0.0351946
-3.8775,0.0493573
-3.87625,0.0837306
-3.875,0.0696695
-3.87375,0.0300004
-3.8725,0.00314222
-3.87125,-0.0186691
-3.87,-0.0290719
-3.86875,-0.0361209
-3.8675,-0.0475848
-3.86625,-0.0819581
-3.865,-0.0716015
-3.86375,-0.0366471
-3.8625,-0.00574308
-3.86125,0.0177474
-3.86,0.0288238
-3.85875,0.0355314
-3.8575,0.0493573
-3.85625,0.0837306
-3.855,0.0700063
-3.85375,0.0303372
-3.8525,0.00347899
-3.85125,-0.0186691
-3.85,-0.0290719
-3.84875,-0.0361209
-3.8475,-0.047248
-3.84625,-0.0819581
-3.845,-0.0715969
-3.84375,-0.0369838
-3.8425,-0.00641661
-3.84125,0.0180888
-3.84,0.0291605
-3.83875,0.0351946
-3.8375,0.0493573
-3.83625,0.0837306
-3.835,0.0700017
-3.83375,0.0306739
-3.8325,0.00347437
-3.83125,-0.0183369
-3.83,-0.0290719
-3.82875,-0.0361209
-3.8275,-0.047248
-3.82625,-0.0816213
-3.825,-0.0719336
-3.82375,-0.0369838
-3.8225,-0.00641661
-3.82125,0.017752
-3.82,0.0291605
-3.81875,0.0351946
-3.8175,0.0486837
-3.81625,0.0837306
-3.815,0.0703385
-3.81375,0.0306739
-3.8125,0.00347437
-3.81125,-0.0183323
-3.81,-0.0287351
-3.80875,-0.0357841
-3.8075,-0.0469113
-3.80625,-0.0816213
-3.805,-0.0722704
-3.80375,-0.0373206
-3.8025,-0.00675338
-3.80125,0.017752
-3.8,0.0288238
-3.79875,0.0351946
-3.7975,0.048347
-3.79625,0.0833938
-3.795,0.0706752
-3.79375,0.0310107
-3.7925,0.0041479
-3.79125,-0.0176588
-3.79,-0.0287351
-3.78875,-0.0354427
-3.7875,-0.047248
-3.78625,-0.0816213
-3.785,-0.0726072
-3.78375,-0.0376574
-3.7825,-0.00674876
-3.78125,0.0174153
-3.78,0.0288238
-3.77875,0.0351946
-3.7775,0.048347
-3.77625,0.0833938
-3.775,0.0713488
-3.77375,0.0313475
-3.7725,0.0041479
-3.77125,-0.0180001
-3.77,-0.0287351
-3.76875,-0.0354427
-3.7675,-0.0465745
-3.76625,-0.0812845
-3.765,-0.0729439
-3.76375,-0.0376527
-3.7625,-0.00708553
-3.76125,0.0174153
-3.76,0.0291651
-3.75875,0.0351946
-3.7575,0.0480102
-3.75625,0.0833938
